Sample Name,batch,Type
BI00700_r1,1,P
BI00700_r2,1,P
BI00701_r1,1,P
BI00701_r2,1,P
BI00702_r1,1,P
BI00702_r2,1,P
BI00703_r1,1,P
BI00703_r2,1,P
BI00704_r1,1,P
BI00704_r2,1,P
BI00705_r1,1,P
BI00705_r2,1,P
BI00706_r1,1,P
BI00706_r2,1,P
BI00707_r1,1,P
BI00707_r2,1,P
BI00708_r1,1,P
BI00708_r2,1,P
BI00709_r1,1,P
BI00709_r2,1,P
BI00710_r1,1,P
BI00710_r2,1,P
BI00711_r1,1,P
BI00711_r2,1,P
BI00712_r1,1,P
BI00712_r2,1,P
BI00713_r1,1,P
BI00713_r2,1,P
BI00714_r1,1,P
BI00714_r2,1,P
BI00715_r1,1,P
BI00715_r2,1,P
BI00716_r1,1,P
BI00716_r2,1,P
BI00717_r1,1,P
BI00717_r2,1,P
BI00718_r1,1,P
BI00718_r2,1,P
BI00756_r1,1,C
BI00756_r2,1,C
BI00757_r1,1,C
BI00757_r2,1,C
BI00758_r1,1,C
BI00758_r2,1,C
BI00765_r1,1,C
BI00765_r2,1,C
BI00766_r1,1,C
BI00766_r2,1,C
BI00767_r1,1,C
BI00767_r2,1,C
BI00768_r1,1,C
BI00768_r2,1,C
BI00769_r1,1,C
BI00769_r2,1,C
BI00719_r1,2,P
BI00719_r2,2,P
BI00720_r1,2,P
BI00720_r2,2,P
BI00721_r1,2,P
BI00721_r2,2,P
BI00722_r1,2,P
BI00722_r2,2,P
BI00723_r1,2,P
BI00723_r2,2,P
BI00724_r1,2,P
BI00724_r2,2,P
BI00725_r1,2,P
BI00725_r2,2,P
BI00726_r1,2,P
BI00726_r2,2,P
BI00727_r1,2,P
BI00727_r2,2,P
BI00728_r1,2,P
BI00728_r2,2,P
BI00729_r1,2,P
BI00729_r2,2,P
BI00730_r1,2,P
BI00730_r2,2,P
BI00731_r1,2,P
BI00731_r2,2,P
BI00732_r1,2,P
BI00732_r2,2,P
BI00733_r1,2,P
BI00733_r2,2,P
BI00734_r1,2,P
BI00734_r2,2,P
BI00735_r1,2,P
BI00735_r2,2,P
BI00736_r1,2,P
BI00736_r2,2,P
BI00737_r1,2,P
BI00737_r2,2,P
BI00759_r1,2,C
BI00759_r2,2,C
BI00760_r1,2,C
BI00760_r2,2,C
BI00761_r1,2,C
BI00761_r2,2,C
BI00770_r1,2,C
BI00770_r2,2,C
BI00771_r1,2,C
BI00771_r2,2,C
BI00772_r1,2,C
BI00772_r2,2,C
BI00773_r1,2,C
BI00773_r2,2,C
BI00774_r1,2,C
BI00774_r2,2,C
BI00738_r1,3,P
BI00738_r2,3,P
BI00739_r1,3,P
BI00739_r2,3,P
BI00740_r1,3,P
BI00740_r2,3,P
BI00741_r1,3,P
BI00741_r2,3,P
BI00742_r1,3,P
BI00742_r2,3,P
BI00743_r1,3,P
BI00743_r2,3,P
BI00744_r1,3,P
BI00744_r2,3,P
BI00745_r1,3,P
BI00745_r2,3,P
BI00746_r1,3,P
BI00746_r2,3,P
BI00747_r1,3,P
BI00747_r2,3,P
BI00748_r1,3,P
BI00748_r2,3,P
BI00749_r1,3,P
BI00749_r2,3,P
BI00750_r1,3,P
BI00750_r2,3,P
BI00751_r1,3,P
BI00751_r2,3,P
BI00752_r1,3,P
BI00752_r2,3,P
BI00753_r1,3,P
BI00753_r2,3,P
BI00754_r1,3,P
BI00754_r2,3,P
BI00755_r1,3,P
BI00755_r2,3,P
BI00762_r1,3,C
BI00762_r2,3,C
BI00763_r1,3,C
BI00763_r2,3,C
BI00764_r1,3,C
BI00764_r2,3,C
BI00775_r1,3,C
BI00775_r2,3,C
BI00776_r1,3,C
BI00776_r2,3,C
BI00777_r1,3,C
BI00777_r2,3,C
BI00778_r1,3,C
BI00778_r2,3,C
BI00779_r1,3,C
BI00779_r2,3,C
